Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:23:45 UTC 2014,1.5775,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:53 UTC 2014,1.5775,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:02 UTC 2014,1.5775,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:10 UTC 2014,0.1001,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:18 UTC 2014,0.1001,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:26 UTC 2014,0.1001,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:34 UTC 2014,0.1001,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:42 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:50 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:58 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:05 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:10 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:15 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:20 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:25 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:30 UTC 2014,0.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:36 UTC 2014,0.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:41 UTC 2014,0.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:46 UTC 2014,0.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:51 UTC 2014,0.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:56 UTC 2014,0.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:01 UTC 2014,0.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:06 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:11 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:16 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:21 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:26 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:31 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:36 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:41 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:47 UTC 2014,0.0,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:52 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:57 UTC 2014,0.0501,0.12,1.0,CassandraNode_scaleIn,
