Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:42:57 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:02 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:07 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:12 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:17 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:22 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:27 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:32 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:37 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:42 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:43:50 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:43:59 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:44:07 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:44:15 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:44:23 UTC 2014,0.1503,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:44:31 UTC 2014,0.1503,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:44:39 UTC 2014,0.1503,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:44:44 UTC 2014,0.1503,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:44:49 UTC 2014,0.401,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:44:54 UTC 2014,0.401,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:44:59 UTC 2014,0.401,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:04 UTC 2014,0.401,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:09 UTC 2014,0.401,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:15 UTC 2014,0.401,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:20 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:25 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:30 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:35 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:40 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:45 UTC 2014,0.1,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:50 UTC 2014,0.3498,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:45:55 UTC 2014,0.3498,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:01 UTC 2014,0.3498,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:06 UTC 2014,0.3498,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:11 UTC 2014,0.3498,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:16 UTC 2014,0.3498,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:21 UTC 2014,50.0,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:27 UTC 2014,50.0,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:32 UTC 2014,50.0,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:37 UTC 2014,50.0,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:42 UTC 2014,50.0,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:47 UTC 2014,0.5259,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:53 UTC 2014,0.5259,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:46:58 UTC 2014,0.5259,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:03 UTC 2014,0.5259,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:08 UTC 2014,0.5259,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:13 UTC 2014,0.3008,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:19 UTC 2014,0.1501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:24 UTC 2014,0.1501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:29 UTC 2014,0.1501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:34 UTC 2014,0.1751,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:40 UTC 2014,0.1751,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:45 UTC 2014,0.1751,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:50 UTC 2014,0.1751,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:47:55 UTC 2014,0.1751,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:00 UTC 2014,0.1751,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:06 UTC 2014,0.2503,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:11 UTC 2014,0.2503,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:16 UTC 2014,0.2503,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:21 UTC 2014,0.2503,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:26 UTC 2014,0.2503,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:32 UTC 2014,50.1252,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:37 UTC 2014,50.0501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:42 UTC 2014,50.0501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:47 UTC 2014,50.0501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:53 UTC 2014,50.0501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:48:58 UTC 2014,50.0501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:03 UTC 2014,50.0501,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:08 UTC 2014,27.9344,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:14 UTC 2014,27.9344,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:19 UTC 2014,27.9344,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:24 UTC 2014,27.9344,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:29 UTC 2014,10.0604,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:35 UTC 2014,10.2359,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:40 UTC 2014,10.2359,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:45 UTC 2014,10.2359,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:51 UTC 2014,10.2359,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:49:56 UTC 2014,10.2359,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:50:01 UTC 2014,0.3011,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:50:06 UTC 2014,0.1506,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:50:12 UTC 2014,0.1506,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:50:17 UTC 2014,0.1506,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:50:22 UTC 2014,0.1506,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:50:27 UTC 2014,0.3008,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:50:33 UTC 2014,0.3008,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:50:41 UTC 2014,0.3008,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:50:49 UTC 2014,0.3008,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:50:57 UTC 2014,0.3507,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:51:06 UTC 2014,0.3507,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:51:14 UTC 2014,0.3507,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:51:22 UTC 2014,0.3507,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:51:27 UTC 2014,0.2506,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:51:33 UTC 2014,0.2506,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:51:38 UTC 2014,0.2506,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:51:44 UTC 2014,0.2506,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:51:49 UTC 2014,0.2257,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:51:54 UTC 2014,0.2007,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:51:59 UTC 2014,0.2007,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:05 UTC 2014,0.2007,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:10 UTC 2014,0.2007,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:15 UTC 2014,0.3258,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:21 UTC 2014,0.3757,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:26 UTC 2014,0.3757,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:31 UTC 2014,0.3757,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:36 UTC 2014,0.3757,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:42 UTC 2014,0.3757,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:47 UTC 2014,0.2003,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:52 UTC 2014,0.2003,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:52:57 UTC 2014,0.2003,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:03 UTC 2014,50.0501,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:08 UTC 2014,50.0501,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:13 UTC 2014,52.4874,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:18 UTC 2014,52.4874,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:23 UTC 2014,52.4874,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:29 UTC 2014,52.4874,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:34 UTC 2014,37.5853,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:40 UTC 2014,37.5853,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:45 UTC 2014,36.0939,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:50 UTC 2014,36.0939,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:53:55 UTC 2014,36.0939,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:01 UTC 2014,33.5502,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:06 UTC 2014,2.0119,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:11 UTC 2014,2.0119,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:17 UTC 2014,1.8784,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:22 UTC 2014,1.8784,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:27 UTC 2014,0.0834,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:32 UTC 2014,0.0999,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:38 UTC 2014,0.0999,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:43 UTC 2014,0.0999,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:49 UTC 2014,0.0999,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:54:54 UTC 2014,0.1,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:54:59 UTC 2014,0.1168,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:05 UTC 2014,0.1168,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:10 UTC 2014,0.1168,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:15 UTC 2014,0.1168,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:20 UTC 2014,0.1168,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:26 UTC 2014,0.0834,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:31 UTC 2014,0.05,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:37 UTC 2014,0.05,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:42 UTC 2014,0.05,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:47 UTC 2014,0.05,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:52 UTC 2014,0.05,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:55:58 UTC 2014,0.0836,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:03 UTC 2014,0.2173,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:08 UTC 2014,0.2173,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:13 UTC 2014,0.3009,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:19 UTC 2014,0.3009,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:24 UTC 2014,0.3009,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:30 UTC 2014,0.2674,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:35 UTC 2014,0.2674,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:41 UTC 2014,0.2674,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:46 UTC 2014,0.2339,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:51 UTC 2014,0.2339,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:56:56 UTC 2014,0.2672,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:01 UTC 2014,0.2672,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:07 UTC 2014,0.2672,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:12 UTC 2014,0.3174,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:17 UTC 2014,0.3174,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:23 UTC 2014,0.3174,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:28 UTC 2014,0.2174,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:33 UTC 2014,0.2174,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:40 UTC 2014,0.2174,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:46 UTC 2014,0.1838,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:51 UTC 2014,0.1838,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:57:57 UTC 2014,0.2004,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:02 UTC 2014,0.384,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:08 UTC 2014,0.384,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:13 UTC 2014,0.384,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:19 UTC 2014,0.2841,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:24 UTC 2014,0.2841,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:29 UTC 2014,0.4012,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:35 UTC 2014,0.4012,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:40 UTC 2014,0.4012,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:45 UTC 2014,0.3509,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:51 UTC 2014,0.3842,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:58:56 UTC 2014,0.3842,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:01 UTC 2014,0.3338,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:06 UTC 2014,0.3338,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:12 UTC 2014,0.3338,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:17 UTC 2014,0.334,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:22 UTC 2014,0.334,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:28 UTC 2014,0.3008,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:33 UTC 2014,0.3008,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:38 UTC 2014,0.3008,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:43 UTC 2014,0.2339,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:49 UTC 2014,5.1295,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 12:59:54 UTC 2014,5.0961,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 13:00:00 UTC 2014,5.0961,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 13:00:05 UTC 2014,5.0961,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 13:00:11 UTC 2014,5.0961,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 13:00:17 UTC 2014,5.1963,0.36,3.0,AppServer_scaleIn,
Thu Feb 20 13:00:23 UTC 2014,0.3173,0.36,3.0,AppServer_scaleIn,
