Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:01:43 UTC 2014,41.0312,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:48 UTC 2014,36.9086,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:53 UTC 2014,36.9336,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:58 UTC 2014,36.9336,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:03 UTC 2014,36.7146,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:08 UTC 2014,36.7145,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:13 UTC 2014,36.8993,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:18 UTC 2014,36.8993,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:23 UTC 2014,36.7744,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:28 UTC 2014,37.1215,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:33 UTC 2014,37.1215,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:38 UTC 2014,43.8519,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:43 UTC 2014,44.0287,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:48 UTC 2014,34.9103,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:54 UTC 2014,34.9084,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:59 UTC 2014,34.9084,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:04 UTC 2014,34.4872,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:09 UTC 2014,34.4373,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:14 UTC 2014,34.4373,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:19 UTC 2014,37.6119,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:24 UTC 2014,37.4652,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:29 UTC 2014,33.9851,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:34 UTC 2014,33.9852,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:39 UTC 2014,34.0601,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:45 UTC 2014,41.1765,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:50 UTC 2014,44.8662,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:55 UTC 2014,44.8662,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 10:04:00 UTC 2014,42.3427,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:08 UTC 2014,34.7944,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:16 UTC 2014,34.4947,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:24 UTC 2014,44.8391,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:32 UTC 2014,44.8391,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:40 UTC 2014,49.8731,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:48 UTC 2014,51.7939,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:56 UTC 2014,51.7939,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:05:05 UTC 2014,49.2647,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:10 UTC 2014,48.0552,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:15 UTC 2014,47.6556,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:20 UTC 2014,45.8571,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:25 UTC 2014,46.0069,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:30 UTC 2014,47.4301,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:35 UTC 2014,47.4302,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:40 UTC 2014,47.7384,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:45 UTC 2014,46.0749,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:50 UTC 2014,46.0981,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:55 UTC 2014,46.0981,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:00 UTC 2014,47.0962,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:06 UTC 2014,47.1462,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:11 UTC 2014,47.1882,0.6,5.0,CassandraNode_scaleOut,
