Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:23:44 UTC 2014,10.9879,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:52 UTC 2014,11.6935,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:00 UTC 2014,11.6935,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:09 UTC 2014,12.0482,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:17 UTC 2014,12.0482,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:25 UTC 2014,12.3867,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:33 UTC 2014,12.8643,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:41 UTC 2014,16.1484,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:49 UTC 2014,16.1484,0.12,1.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:57 UTC 2014,19.0381,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:05 UTC 2014,19.0381,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:10 UTC 2014,21.1268,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:15 UTC 2014,21.1268,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:20 UTC 2014,26.68,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:25 UTC 2014,26.68,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:30 UTC 2014,26.3581,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:35 UTC 2014,26.3581,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:40 UTC 2014,26.3581,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:46 UTC 2014,27.51,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:51 UTC 2014,27.51,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:56 UTC 2014,29.013,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:01 UTC 2014,29.013,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:06 UTC 2014,29.013,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:11 UTC 2014,29.3121,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:16 UTC 2014,29.3121,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:21 UTC 2014,33.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:26 UTC 2014,33.1,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:31 UTC 2014,34.0061,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:36 UTC 2014,34.0061,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:41 UTC 2014,33.9921,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:46 UTC 2014,33.9921,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:51 UTC 2014,38.7161,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:56 UTC 2014,38.7161,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:01 UTC 2014,38.7161,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:07 UTC 2014,38.7161,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:12 UTC 2014,43.8247,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:17 UTC 2014,43.8247,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:22 UTC 2014,39.2892,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:27 UTC 2014,39.2892,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:32 UTC 2014,43.0542,0.12,1.0,CassandraNode_scaleIn,
