50.679,1.08,9
53.3541,1.08,9
51.3784,1.08,9
49.7478,1.08,9
51.6167,1.08,9
50.0441,1.08,9
50.2967,1.08,9
49.8341,1.2,10
49.7935,1.2,10
50.2622,1.2,10
48.0641,1.2,10
49.8996,1.2,10
53.1426,1.2,10
53.4922,1.2,10
52.8796,1.2,10
49.7278,1.2,10
49.7528,1.2,10
48.5917,1.2,10
47.8316,1.2,10
48.6265,1.2,10
53.6165,1.2,10
54.7853,1.2,10
54.7853,1.2,10
54.1179,1.2,10
52.4982,1.2,10
51.1037,1.2,10
50.7571,1.2,10
50.7633,1.2,10
53.586,1.2,10
53.586,1.2,10
52.9725,1.2,10
52.9725,1.2,10
52.9196,1.2,10
50.3278,1.2,10
52.9556,1.2,10
54.6839,1.2,10
53.6313,1.2,10
52.5811,1.2,10
53.8347,1.2,10
52.0147,1.2,10
