Time ,cpuUsage ,cost ,currentThreadsBusy ,memUsed ,requestThroughput ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:50:25 UTC 2014,91.0609,0.12,27,48.4011,0.5667,1,,
Fri Feb 21 13:50:31 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:50:37 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:50:44 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:50:50 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:50:56 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:51:02 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:51:09 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:51:15 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:51:21 UTC 2014,91.587,0.12,29,53.1856,0.6,1,,
Fri Feb 21 13:51:26 UTC 2014,94.3114,0.12,30,55.4263,0.4839,1,,
Fri Feb 21 13:51:33 UTC 2014,94.3114,0.12,30,55.4263,0.4839,1,,
Fri Feb 21 13:51:39 UTC 2014,94.3114,0.12,30,55.4263,0.4839,1,,
Fri Feb 21 13:51:45 UTC 2014,94.3114,0.12,30,55.4263,0.4839,1,,
Fri Feb 21 13:51:51 UTC 2014,94.3114,0.12,30,55.4263,0.4839,1,,
Fri Feb 21 13:51:57 UTC 2014,94.3114,0.12,30,55.4263,0.4839,1,,
Fri Feb 21 13:52:03 UTC 2014,94.3114,0.12,30,55.4263,0.4839,1,,
Fri Feb 21 13:52:10 UTC 2014,78.012,0.12,29,54.0064,0.6667,1,,
Fri Feb 21 13:52:17 UTC 2014,78.012,0.12,29,54.0064,0.6667,1,,
Fri Feb 21 13:52:25 UTC 2014,78.012,0.12,29,54.0064,0.6667,1,,
Fri Feb 21 13:52:31 UTC 2014,78.012,0.12,29,54.0064,0.6667,1,,
Fri Feb 21 13:52:38 UTC 2014,78.012,0.12,29,54.0064,0.6667,1,,
Fri Feb 21 13:52:44 UTC 2014,91.7918,0.12,29,54.2947,0.6667,1,,
Fri Feb 21 13:52:53 UTC 2014,91.7918,0.12,29,54.2947,0.6667,1,,
Fri Feb 21 13:52:59 UTC 2014,91.7918,0.12,29,54.2947,0.6667,1,,
Fri Feb 21 13:53:05 UTC 2014,91.7918,0.12,29,54.2947,0.6667,1,,
Fri Feb 21 13:53:11 UTC 2014,91.7918,0.12,29,54.2947,0.6667,1,,
Fri Feb 21 13:53:17 UTC 2014,91.7918,0.12,29,54.2947,0.6667,1,,
Fri Feb 21 13:53:24 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:53:30 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:53:36 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:53:42 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:53:49 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:53:55 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:54:01 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:54:07 UTC 2014,80.222,0.12,28,50.1581,0.6774,1,,
Fri Feb 21 13:54:13 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:54:19 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:54:25 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:54:32 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:54:40 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:54:46 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:54:52 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:54:58 UTC 2014,84.1842,0.12,24,48.4494,0.7,1,,
Fri Feb 21 13:55:04 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:10 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:16 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:22 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:28 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:34 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:40 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:46 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:55:54 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:56:00 UTC 2014,85.6275,0.12,22,42.0186,0.6129,1,,
Fri Feb 21 13:56:06 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:56:13 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:56:21 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:56:28 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:56:34 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:56:42 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:56:49 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:56:55 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:57:02 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:57:08 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:57:14 UTC 2014,90.6907,0.12,21,40.972,0.6562,1,,
Fri Feb 21 13:57:20 UTC 2014,94.6,0.12,31,38.532,0.6562,1,,
Fri Feb 21 13:57:27 UTC 2014,94.6,0.12,31,38.532,0.6562,1,,
Fri Feb 21 13:57:33 UTC 2014,94.6,0.12,31,38.532,0.6562,1,,
Fri Feb 21 13:57:39 UTC 2014,94.6,0.12,31,38.532,0.6562,1,,
Fri Feb 21 13:57:45 UTC 2014,94.6,0.12,31,38.532,0.6562,1,,
Fri Feb 21 13:57:51 UTC 2014,96.3037,0.12,31,51.0606,0.5667,1,,
Fri Feb 21 13:57:57 UTC 2014,96.3037,0.12,31,51.0606,0.5667,1,,
Fri Feb 21 13:58:03 UTC 2014,96.3037,0.12,31,51.0606,0.5667,1,,
Fri Feb 21 13:58:09 UTC 2014,96.3037,0.12,31,51.0606,0.5667,1,,
Fri Feb 21 13:58:14 UTC 2014,96.3037,0.12,31,51.0606,0.5667,1,,
Fri Feb 21 13:58:20 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:58:26 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:58:32 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:58:38 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:58:46 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
Fri Feb 21 13:58:52 UTC 2014,90.5,0.12,31,47.1166,0.8,1,,
