Time ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:33:05 UTC 2014,44.6973,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:12 UTC 2014,41.8215,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:20 UTC 2014,39.567,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:27 UTC 2014,42.5448,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:36 UTC 2014,41.4902,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:43 UTC 2014,41.7464,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:51 UTC 2014,37.7509,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:58 UTC 2014,40.2225,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:06 UTC 2014,43.1151,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:13 UTC 2014,44.7323,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:21 UTC 2014,47.1883,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:28 UTC 2014,48.8553,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:35 UTC 2014,48.8553,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:43 UTC 2014,46.6345,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:50 UTC 2014,46.2999,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:58 UTC 2014,46.3249,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:05 UTC 2014,47.2265,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:13 UTC 2014,48.4072,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:21 UTC 2014,48.6753,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:28 UTC 2014,45.3224,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:35 UTC 2014,45.5075,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:43 UTC 2014,45.89,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:50 UTC 2014,46.6623,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:58 UTC 2014,47.6507,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:05 UTC 2014,48.3949,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:13 UTC 2014,45.2479,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:20 UTC 2014,45.2479,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:27 UTC 2014,42.3802,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:35 UTC 2014,41.9321,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:42 UTC 2014,40.2241,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:50 UTC 2014,42.5918,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:58 UTC 2014,42.5918,7,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:37:06 UTC 2014,44.9904,7,,
Thu Feb 20 13:37:13 UTC 2014,45.5053,6,,
Thu Feb 20 13:37:19 UTC 2014,45.5053,6,,
Thu Feb 20 13:37:24 UTC 2014,43.2959,6,,
Thu Feb 20 13:37:29 UTC 2014,43.2959,6,,
Thu Feb 20 13:37:35 UTC 2014,46.9449,6,,
Thu Feb 20 13:37:40 UTC 2014,46.8859,6,,
Thu Feb 20 13:37:45 UTC 2014,46.1754,6,,
Thu Feb 20 13:37:51 UTC 2014,46.1754,6,,
Thu Feb 20 13:37:57 UTC 2014,46.9076,6,,
Thu Feb 20 13:38:02 UTC 2014,46.9076,6,,
Thu Feb 20 13:38:07 UTC 2014,47.251,6,,
Thu Feb 20 13:38:13 UTC 2014,43.8739,6,,
Thu Feb 20 13:38:19 UTC 2014,43.8739,6,,
Thu Feb 20 13:38:24 UTC 2014,41.3552,6,,
Thu Feb 20 13:38:29 UTC 2014,40.7571,6,,
Thu Feb 20 13:38:35 UTC 2014,40.249,6,,
Thu Feb 20 13:38:40 UTC 2014,40.249,6,,
Thu Feb 20 13:38:46 UTC 2014,40.171,6,,
Thu Feb 20 13:38:51 UTC 2014,41.4193,6,,
Thu Feb 20 13:38:57 UTC 2014,41.4193,6,,
Thu Feb 20 13:39:02 UTC 2014,43.6588,6,,
Thu Feb 20 13:39:07 UTC 2014,43.6838,6,,
Thu Feb 20 13:39:13 UTC 2014,43.6838,6,,
Thu Feb 20 13:39:19 UTC 2014,43.8327,6,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:26 UTC 2014,44.805,6,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:33 UTC 2014,44.7997,6,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:41 UTC 2014,41.309,6,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:48 UTC 2014,43.1858,6,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:56 UTC 2014,41.3447,6,AppServer_scaleOut,AppServer
Thu Feb 20 13:40:03 UTC 2014,38.672,6,AppServer_scaleOut,AppServer
Thu Feb 20 13:40:11 UTC 2014,44.3797,7,,
Thu Feb 20 13:40:16 UTC 2014,47.0831,7,,
Thu Feb 20 13:40:22 UTC 2014,47.7952,7,,
Thu Feb 20 13:40:27 UTC 2014,48.3592,7,,
Thu Feb 20 13:40:33 UTC 2014,48.3592,7,,
Thu Feb 20 13:40:38 UTC 2014,48.7049,7,,
Thu Feb 20 13:40:43 UTC 2014,48.7049,7,,
Thu Feb 20 13:40:49 UTC 2014,48.1052,7,,
Thu Feb 20 13:40:54 UTC 2014,48.1379,7,,
Thu Feb 20 13:41:00 UTC 2014,48.1379,7,,
Thu Feb 20 13:41:05 UTC 2014,46.6524,7,,
Thu Feb 20 13:41:10 UTC 2014,43.4053,7,,
Thu Feb 20 13:41:16 UTC 2014,43.4053,7,,
Thu Feb 20 13:41:21 UTC 2014,52.3163,7,,
Thu Feb 20 13:41:27 UTC 2014,39.301,7,,
Thu Feb 20 13:41:32 UTC 2014,39.301,7,,
Thu Feb 20 13:41:38 UTC 2014,39.3573,7,,
Thu Feb 20 13:41:44 UTC 2014,39.3573,7,AppServer_scaleOut,AppServer
Thu Feb 20 13:41:51 UTC 2014,46.3617,7,AppServer_scaleOut,AppServer
Thu Feb 20 13:41:59 UTC 2014,48.1932,7,AppServer_scaleOut,AppServer
