Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:32:07 UTC 2014,84.6386,0.12,1,,
Thu Feb 20 13:32:12 UTC 2014,84.6386,0.12,1,,
Thu Feb 20 13:32:17 UTC 2014,84.6386,0.12,1,,
Thu Feb 20 13:32:23 UTC 2014,84.6386,0.12,1,,
Thu Feb 20 13:32:28 UTC 2014,84.7848,0.12,1,,
Thu Feb 20 13:32:34 UTC 2014,78.0905,0.12,1,,
Thu Feb 20 13:32:39 UTC 2014,78.0905,0.12,1,,
Thu Feb 20 13:32:45 UTC 2014,78.0905,0.12,1,,
Thu Feb 20 13:32:51 UTC 2014,78.0905,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:32:59 UTC 2014,79.0371,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:07 UTC 2014,80.5195,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:16 UTC 2014,80.5195,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:25 UTC 2014,76.4471,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:33 UTC 2014,76.4471,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:42 UTC 2014,76.4471,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:50 UTC 2014,73.5,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:59 UTC 2014,87.0871,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:07 UTC 2014,87.3747,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:16 UTC 2014,87.3747,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:24 UTC 2014,88.978,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:32 UTC 2014,88.978,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:41 UTC 2014,87.3,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:49 UTC 2014,84.7695,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:57 UTC 2014,84.7695,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:06 UTC 2014,89.1784,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:14 UTC 2014,89.1784,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:23 UTC 2014,89.9598,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:31 UTC 2014,86.7133,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:40 UTC 2014,84.4534,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:48 UTC 2014,84.4534,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:56 UTC 2014,84.7458,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:05 UTC 2014,84.9699,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:13 UTC 2014,84.9699,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:21 UTC 2014,84.2685,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:30 UTC 2014,84.2685,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:38 UTC 2014,83.6,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:46 UTC 2014,81.3696,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:55 UTC 2014,81.3696,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:37:03 UTC 2014,88.7113,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:37:12 UTC 2014,88.7113,0.12,1,,
Thu Feb 20 13:37:17 UTC 2014,85.5567,0.12,1,,
Thu Feb 20 13:37:23 UTC 2014,82.2467,0.12,1,,
Thu Feb 20 13:37:28 UTC 2014,82.2467,0.12,1,,
Thu Feb 20 13:37:33 UTC 2014,82.2467,0.12,1,,
Thu Feb 20 13:37:39 UTC 2014,83.3501,0.12,1,,
Thu Feb 20 13:37:44 UTC 2014,83.3501,0.12,1,,
Thu Feb 20 13:37:50 UTC 2014,83.3501,0.12,1,,
Thu Feb 20 13:37:56 UTC 2014,76.6467,0.12,1,,
Thu Feb 20 13:38:01 UTC 2014,76.6467,0.12,1,,
Thu Feb 20 13:38:06 UTC 2014,83.2335,0.12,1,,
Thu Feb 20 13:38:12 UTC 2014,83.2335,0.12,1,,
Thu Feb 20 13:38:17 UTC 2014,83.2335,0.12,1,,
Thu Feb 20 13:38:23 UTC 2014,79.7203,0.12,1,,
Thu Feb 20 13:38:28 UTC 2014,79.7203,0.12,1,,
Thu Feb 20 13:38:34 UTC 2014,77.5879,0.12,1,,
Thu Feb 20 13:38:39 UTC 2014,77.5879,0.12,1,,
Thu Feb 20 13:38:44 UTC 2014,77.2088,0.12,1,,
Thu Feb 20 13:38:50 UTC 2014,77.2088,0.12,1,,
Thu Feb 20 13:38:55 UTC 2014,77.2088,0.12,1,,
Thu Feb 20 13:39:00 UTC 2014,80.3785,0.12,1,,
Thu Feb 20 13:39:06 UTC 2014,80.3785,0.12,1,,
Thu Feb 20 13:39:11 UTC 2014,80.3785,0.12,1,,
Thu Feb 20 13:39:17 UTC 2014,75.9241,0.12,1,,
Thu Feb 20 13:39:22 UTC 2014,80.8532,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:30 UTC 2014,80.8532,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:39 UTC 2014,80.8532,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:47 UTC 2014,83.5836,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:39:56 UTC 2014,76.1194,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:40:05 UTC 2014,74.9749,0.12,1,,
Thu Feb 20 13:40:13 UTC 2014,74.9749,0.12,1,,
Thu Feb 20 13:40:19 UTC 2014,74.9749,0.12,1,,
Thu Feb 20 13:40:24 UTC 2014,77.9234,0.12,1,,
Thu Feb 20 13:40:29 UTC 2014,77.9234,0.12,1,,
Thu Feb 20 13:40:34 UTC 2014,86.5135,0.12,1,,
Thu Feb 20 13:40:40 UTC 2014,86.5135,0.12,1,,
Thu Feb 20 13:40:45 UTC 2014,85.1703,0.12,1,,
Thu Feb 20 13:40:51 UTC 2014,85.1703,0.12,1,,
Thu Feb 20 13:40:56 UTC 2014,85.1703,0.12,1,,
Thu Feb 20 13:41:01 UTC 2014,88.8778,0.12,1,,
Thu Feb 20 13:41:07 UTC 2014,88.8778,0.12,1,,
Thu Feb 20 13:41:12 UTC 2014,88.8778,0.12,1,,
Thu Feb 20 13:41:17 UTC 2014,89.4472,0.12,1,,
Thu Feb 20 13:41:23 UTC 2014,89.4472,0.12,1,,
Thu Feb 20 13:41:28 UTC 2014,86.7265,0.12,1,,
Thu Feb 20 13:41:34 UTC 2014,86.7265,0.12,1,,
Thu Feb 20 13:41:39 UTC 2014,86.7265,0.12,1,,
Thu Feb 20 13:41:45 UTC 2014,86.7265,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:41:53 UTC 2014,84.6847,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:02 UTC 2014,90.1902,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:10 UTC 2014,89.3894,0.12,1,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:19 UTC 2014,89.3894,0.12,1,AppServer_scaleOut,AppServer
