Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:26:13 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:18 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:23 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:28 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:33 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:38 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:48 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:53 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:58 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:03 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:08 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:13 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:18 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:23 UTC 2014,0.12,113.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:29 UTC 2014,0.12,113.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:34 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:39 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:44 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:49 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:54 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:59 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:04 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:09 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:14 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:19 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:27 UTC 2014,0.12,10.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:35 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:51 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:59 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:29:07 UTC 2014,0.12,22.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:29:15 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:29:23 UTC 2014,0.12,1.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:29:31 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:29:39 UTC 2014,0.12,25.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:29:47 UTC 2014,0.12,25.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:29:55 UTC 2014,0.12,34.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:03 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:11 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:19 UTC 2014,0.12,30.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:27 UTC 2014,0.12,30.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:35 UTC 2014,0.12,11.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:51 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:30:59 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:31:07 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:31:15 UTC 2014,0.12,1.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:31:23 UTC 2014,0.12,5.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:31:31 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:31:39 UTC 2014,0.12,24.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:31:47 UTC 2014,0.12,24.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:31:55 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:32:03 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:32:11 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:32:20 UTC 2014,0.12,68.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:32:28 UTC 2014,0.12,68.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:32:36 UTC 2014,0.12,10.0,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:32:44 UTC 2014,0.12,2.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:32:52 UTC 2014,0.12,249.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:32:57 UTC 2014,0.12,249.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:02 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:07 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:12 UTC 2014,0.12,8.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:17 UTC 2014,0.12,8.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:22 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:27 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:32 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:37 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:42 UTC 2014,0.12,35.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:47 UTC 2014,0.12,35.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:52 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:33:57 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:02 UTC 2014,0.12,197.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:07 UTC 2014,0.12,197.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:12 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:17 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:22 UTC 2014,0.12,33.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:27 UTC 2014,0.12,33.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:32 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:37 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 14:34:42 UTC 2014,0.12,14.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:34:47 UTC 2014,0.12,14.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:34:52 UTC 2014,0.12,367.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:34:57 UTC 2014,0.12,367.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:02 UTC 2014,0.12,94.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:07 UTC 2014,0.12,94.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:12 UTC 2014,0.12,3.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:17 UTC 2014,0.12,3.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:22 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:27 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:32 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:37 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:42 UTC 2014,0.12,26.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:47 UTC 2014,0.12,26.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:52 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:35:57 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:03 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:08 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:13 UTC 2014,0.12,31.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:18 UTC 2014,0.12,31.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:23 UTC 2014,0.12,53.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:28 UTC 2014,0.12,53.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:33 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:38 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:43 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:48 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:53 UTC 2014,0.12,29.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:36:58 UTC 2014,0.12,29.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:03 UTC 2014,0.12,14.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:08 UTC 2014,0.12,14.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:13 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:18 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:23 UTC 2014,0.12,56.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:28 UTC 2014,0.12,56.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:33 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:38 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:43 UTC 2014,0.12,2.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:48 UTC 2014,0.12,2.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:53 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:37:58 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:03 UTC 2014,0.12,70.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:08 UTC 2014,0.12,70.0,1.0,EventProcessingServiceUnit_scaleIn,
Mon Feb 10 14:38:13 UTC 2014,0.12,42.0,1.0,EventProcessingServiceUnit_scaleIn,
