Time ,cost/client/h ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:20:40 UTC 2014,0.0209,27.4,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:20:48 UTC 2014,0.0209,27.4,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:20:56 UTC 2014,0.48,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:03 UTC 2014,0.0059,48.5,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:11 UTC 2014,0.0057,45.3,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:19 UTC 2014,0.0028,44.8,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:27 UTC 2014,0.0028,44.8,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:35 UTC 2014,0.0043,48.1,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:43 UTC 2014,0.0282,43.6,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:51 UTC 2014,0.0021,40.3,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:59 UTC 2014,0.0014,40.2,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:07 UTC 2014,0.0014,40.2,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:15 UTC 2014,0.0048,43.15,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:23 UTC 2014,0.0343,45.9,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:31 UTC 2014,0.0017,46.05,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:39 UTC 2014,0.0015,48.55,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:47 UTC 2014,0.0015,48.55,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:55 UTC 2014,0.0079,49.25,4.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:23:03 UTC 2014,0.03,49.25,4.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:11 UTC 2014,0.0097,42.85,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:17 UTC 2014,0.0097,42.85,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:22 UTC 2014,0.0023,45.15,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:27 UTC 2014,0.0023,45.15,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:32 UTC 2014,0.0066,45.15,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:37 UTC 2014,0.0066,45.15,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:42 UTC 2014,0.2,43.55,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:47 UTC 2014,0.2,43.55,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:52 UTC 2014,0.0176,43.55,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:57 UTC 2014,0.0176,43.55,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:02 UTC 2014,0.0065,47.1,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:07 UTC 2014,0.0065,47.1,5.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:12 UTC 2014,0.02,37.5,5.0,DataNodeServiceUnit_scaleOut,
