Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:26:02 UTC 2014,77.3,0.24,0.132,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:07 UTC 2014,77.3,0.24,0.132,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:12 UTC 2014,74.85,0.24,0.132,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:17 UTC 2014,74.85,0.24,0.132,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:22 UTC 2014,74.85,0.24,0.132,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:27 UTC 2014,74.85,0.24,0.132,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:32 UTC 2014,67.3,0.24,0.264,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:37 UTC 2014,67.3,0.24,0.264,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:42 UTC 2014,67.3,0.24,0.264,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:47 UTC 2014,67.3,0.24,0.264,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:52 UTC 2014,67.3,0.24,0.2641,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:57 UTC 2014,67.3,0.24,0.2641,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:02 UTC 2014,59.5,0.24,0.2642,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:08 UTC 2014,59.5,0.24,0.2642,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:13 UTC 2014,59.5,0.24,0.2642,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:18 UTC 2014,59.5,0.24,0.2642,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:23 UTC 2014,55.8,0.24,0.2649,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:28 UTC 2014,55.8,0.24,0.2649,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:33 UTC 2014,49.1,0.24,0.2649,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:38 UTC 2014,49.1,0.24,0.2649,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:43 UTC 2014,49.1,0.24,0.2649,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:48 UTC 2014,49.1,0.24,0.2649,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:53 UTC 2014,52.7,0.24,0.2655,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:58 UTC 2014,52.7,0.24,0.2655,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:03 UTC 2014,45.3,0.24,0.2659,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:08 UTC 2014,45.3,0.24,0.2659,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:13 UTC 2014,45.3,0.24,0.2659,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:18 UTC 2014,45.3,0.24,0.2659,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:23 UTC 2014,53.5,0.24,0.2662,2.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:32 UTC 2014,42.8,0.24,0.2668,2.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:41 UTC 2014,42.8,0.24,0.2668,2.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 14:28:50 UTC 2014,51.5,0.24,0.2671,2.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
