Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 19:53:49 UTC 2014,44.85,0.48,0.1279,4.0,,
Mon Feb 10 19:53:54 UTC 2014,44.85,0.48,0.1279,4.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:03 UTC 2014,0.24,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:11 UTC 2014,43.05,0.24,0.1279,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:20 UTC 2014,50.2,0.24,0.1279,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:30 UTC 2014,50.2,0.24,0.1279,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:40 UTC 2014,47.35,0.24,0.1278,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:49 UTC 2014,49.55,0.24,0.1278,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:59 UTC 2014,46.3,0.24,0.1278,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:08 UTC 2014,46.3,0.24,0.1278,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:17 UTC 2014,46.15,0.24,0.1278,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:26 UTC 2014,41.8,0.24,0.1277,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:35 UTC 2014,38.25,0.24,0.1277,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:45 UTC 2014,42.25,0.24,0.1277,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:54 UTC 2014,50.1,0.24,0.1277,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:03 UTC 2014,50.1,0.24,0.1277,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:12 UTC 2014,50.1,0.24,0.1277,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:21 UTC 2014,50.1,0.24,0.1276,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:26 UTC 2014,50.1,0.24,0.1276,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:32 UTC 2014,46.75,0.24,0.1276,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:37 UTC 2014,46.75,0.24,0.1276,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:42 UTC 2014,46.75,0.24,0.1276,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:47 UTC 2014,46.75,0.24,0.1276,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:52 UTC 2014,46.75,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:57 UTC 2014,46.75,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:02 UTC 2014,46.45,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:07 UTC 2014,46.45,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:12 UTC 2014,43.2,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:18 UTC 2014,43.2,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:23 UTC 2014,43.2,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:28 UTC 2014,43.2,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:33 UTC 2014,44.25,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:38 UTC 2014,44.25,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:43 UTC 2014,44.9,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:48 UTC 2014,44.9,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:53 UTC 2014,51.8,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:58 UTC 2014,51.8,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:03 UTC 2014,44.3,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:09 UTC 2014,44.3,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:14 UTC 2014,41.5,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:19 UTC 2014,41.5,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:24 UTC 2014,41.2,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:29 UTC 2014,41.2,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:34 UTC 2014,41.2,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:39 UTC 2014,37.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:45 UTC 2014,37.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:50 UTC 2014,39.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:56 UTC 2014,39.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:01 UTC 2014,37.7,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:07 UTC 2014,37.7,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:12 UTC 2014,47.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:17 UTC 2014,47.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:22 UTC 2014,43.85,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:28 UTC 2014,43.85,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:33 UTC 2014,40.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:38 UTC 2014,40.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:43 UTC 2014,40.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:48 UTC 2014,40.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:53 UTC 2014,41.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:58 UTC 2014,41.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:03 UTC 2014,38.25,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:08 UTC 2014,38.25,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:14 UTC 2014,35.95,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:19 UTC 2014,35.95,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:24 UTC 2014,46.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:29 UTC 2014,46.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:34 UTC 2014,33.05,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:39 UTC 2014,35.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:45 UTC 2014,35.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:51 UTC 2014,42.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:56 UTC 2014,42.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:01 UTC 2014,42.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:07 UTC 2014,42.65,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:12 UTC 2014,37.4,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:17 UTC 2014,37.4,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:22 UTC 2014,37.4,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:27 UTC 2014,37.4,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:32 UTC 2014,42.2,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:37 UTC 2014,42.2,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:42 UTC 2014,42.2,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:47 UTC 2014,42.2,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:53 UTC 2014,42.05,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:02 UTC 2014,40.45,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:11 UTC 2014,37.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:21 UTC 2014,39.45,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:30 UTC 2014,37.3,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:40 UTC 2014,40.35,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:50 UTC 2014,41.5,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:00 UTC 2014,39.3,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:10 UTC 2014,38.25,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:19 UTC 2014,41.05,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:29 UTC 2014,41.05,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:38 UTC 2014,41.55,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:47 UTC 2014,40.75,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:56 UTC 2014,37.35,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:04:05 UTC 2014,38.8,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:12 UTC 2014,46.0,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:18 UTC 2014,46.0,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:23 UTC 2014,43.05,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:28 UTC 2014,43.05,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:33 UTC 2014,41.75,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:38 UTC 2014,41.75,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:43 UTC 2014,41.75,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:48 UTC 2014,41.75,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:53 UTC 2014,48.45,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:59 UTC 2014,48.45,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:04 UTC 2014,35.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:09 UTC 2014,35.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:14 UTC 2014,35.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:19 UTC 2014,35.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:25 UTC 2014,35.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:30 UTC 2014,49.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:36 UTC 2014,49.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:41 UTC 2014,49.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:47 UTC 2014,49.15,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:52 UTC 2014,49.15,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:57 UTC 2014,49.15,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:02 UTC 2014,42.3,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:08 UTC 2014,42.3,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:13 UTC 2014,39.75,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:18 UTC 2014,39.75,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:23 UTC 2014,40.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:29 UTC 2014,40.9,0.24,0.1274,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:34 UTC 2014,43.95,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:39 UTC 2014,43.95,0.24,0.1275,2.0,EventProcessingServiceUnit_scaleOut,
