Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 16:16:40 UTC 2014,43.3333,0.6,0.1275,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:16:49 UTC 2014,45.2833,0.6,0.1275,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:16:58 UTC 2014,41.9167,0.6,0.1275,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:17:08 UTC 2014,44.6167,0.6,0.1275,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:17:17 UTC 2014,43.7333,0.6,0.1275,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:17:26 UTC 2014,45.5,0.6,0.1275,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:17:35 UTC 2014,43.2333,0.6,0.1276,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:17:44 UTC 2014,48.05,0.6,0.1276,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:17:53 UTC 2014,40.4833,0.6,0.1277,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:18:02 UTC 2014,40.4833,0.6,0.1277,5.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Mon Feb 10 16:18:11 UTC 2014,40.4833,0.6,0.1277,5.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 16:18:16 UTC 2014,39.8167,0.48,0.1277,4.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 16:18:21 UTC 2014,39.8167,0.48,0.1277,4.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 16:18:26 UTC 2014,39.8167,0.48,0.1277,4.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 16:18:31 UTC 2014,43.8833,0.48,0.1277,4.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 16:18:36 UTC 2014,43.8833,0.48,0.1277,4.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 16:18:41 UTC 2014,45.2667,0.48,0.1277,4.0,DataNodeServiceUnit_scaleIn,
