Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:25:58 UTC 2014,24.5,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:03 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:08 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:13 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:18 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:23 UTC 2014,23.8,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:28 UTC 2014,23.8,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:33 UTC 2014,17.9,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:38 UTC 2014,17.9,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:43 UTC 2014,23.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:48 UTC 2014,23.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:53 UTC 2014,23.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:58 UTC 2014,23.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:03 UTC 2014,19.3,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:08 UTC 2014,19.3,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:13 UTC 2014,24.7,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:18 UTC 2014,24.7,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:24 UTC 2014,18.7,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:29 UTC 2014,18.7,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:34 UTC 2014,18.7,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:39 UTC 2014,18.7,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:44 UTC 2014,18.5,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:49 UTC 2014,18.5,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:54 UTC 2014,18.5,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:59 UTC 2014,18.5,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:04 UTC 2014,24.4,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:09 UTC 2014,24.4,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:14 UTC 2014,24.4,0.12,0.1256,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:28:19 UTC 2014,24.4,0.12,0.1256,1.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
