Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 19:53:49 UTC 2014,22.5,0.12,0.1279,1.0,,
Mon Feb 10 19:53:54 UTC 2014,22.5,0.12,0.1279,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:03 UTC 2014,0.12,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:10 UTC 2014,22.1,0.12,0.1279,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:21 UTC 2014,28.1,0.12,0.1279,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:31 UTC 2014,28.1,0.12,0.1279,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:41 UTC 2014,22.4,0.12,0.1278,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:50 UTC 2014,28.7,0.12,0.1278,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:00 UTC 2014,22.2,0.12,0.1278,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:10 UTC 2014,22.2,0.12,0.1278,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:20 UTC 2014,28.2,0.12,0.1278,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:29 UTC 2014,21.1,0.12,0.1277,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:40 UTC 2014,29.1,0.12,0.1277,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:50 UTC 2014,23.8,0.12,0.1277,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:59 UTC 2014,23.8,0.12,0.1277,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:09 UTC 2014,23.8,0.12,0.1277,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:18 UTC 2014,29.7,0.12,0.1277,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:23 UTC 2014,29.7,0.12,0.1276,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:28 UTC 2014,29.7,0.12,0.1276,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:33 UTC 2014,23.0,0.12,0.1276,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:38 UTC 2014,23.0,0.12,0.1276,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:43 UTC 2014,23.0,0.12,0.1276,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:49 UTC 2014,23.0,0.12,0.1276,1.0,EventProcessingServiceUnit_scaleOut,
