Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 19:59:13 UTC 2014,69.8,0.12,0.2981,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:18 UTC 2014,69.8,0.12,0.2981,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:23 UTC 2014,69.8,0.12,0.2981,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:29 UTC 2014,69.8,0.12,0.2981,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:34 UTC 2014,56.9,0.12,0.298,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:39 UTC 2014,56.9,0.12,0.298,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:44 UTC 2014,56.9,0.12,0.298,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:49 UTC 2014,58.9,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:55 UTC 2014,58.9,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:00 UTC 2014,58.9,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:06 UTC 2014,58.9,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:11 UTC 2014,54.3,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:16 UTC 2014,54.3,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:21 UTC 2014,66.7,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:27 UTC 2014,66.7,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:32 UTC 2014,47.3,0.12,0.2979,1.0,EventProcessingServiceUnit_scaleOut,
