Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 19:53:49 UTC 2014,0.12,104.0,1.0,,
Mon Feb 10 19:53:54 UTC 2014,0.12,104.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:02 UTC 2014,0.12,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:09 UTC 2014,0.12,33.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:18 UTC 2014,0.12,33.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:26 UTC 2014,0.12,181.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:34 UTC 2014,0.12,24.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:42 UTC 2014,0.12,96.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:50 UTC 2014,0.12,123.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:00 UTC 2014,0.12,167.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:09 UTC 2014,0.12,79.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:18 UTC 2014,0.12,79.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:26 UTC 2014,0.12,104.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:34 UTC 2014,0.12,25.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:42 UTC 2014,0.12,112.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:50 UTC 2014,0.12,216.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:59 UTC 2014,0.12,62.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:07 UTC 2014,0.12,62.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:15 UTC 2014,0.12,234.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:22 UTC 2014,0.12,174.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:27 UTC 2014,0.12,174.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:33 UTC 2014,0.12,31.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:38 UTC 2014,0.12,31.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:43 UTC 2014,0.12,197.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:48 UTC 2014,0.12,197.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:53 UTC 2014,0.12,165.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:58 UTC 2014,0.12,165.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:03 UTC 2014,0.12,117.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:08 UTC 2014,0.12,117.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:14 UTC 2014,0.12,202.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:19 UTC 2014,0.12,202.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:24 UTC 2014,0.12,207.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:29 UTC 2014,0.12,207.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:34 UTC 2014,0.12,121.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:39 UTC 2014,0.12,197.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:45 UTC 2014,0.12,197.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:50 UTC 2014,0.12,49.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:56 UTC 2014,0.12,49.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:01 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:07 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:12 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:18 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:23 UTC 2014,0.12,62.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:28 UTC 2014,0.12,62.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:33 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:38 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:43 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:48 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:53 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:59 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:04 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:09 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:14 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:19 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:24 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:29 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:35 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:40 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:45 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:51 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:56 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:01 UTC 2014,0.12,22.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:06 UTC 2014,0.12,22.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:12 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:17 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:22 UTC 2014,0.12,1.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:27 UTC 2014,0.12,1.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:32 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:37 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:42 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:47 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:52 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:58 UTC 2014,0.12,0.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:03 UTC 2014,0.12,10.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:08 UTC 2014,0.12,10.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:13 UTC 2014,0.12,5.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:18 UTC 2014,0.12,5.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:23 UTC 2014,0.12,136.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:28 UTC 2014,0.12,136.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:33 UTC 2014,0.12,21.0,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:38 UTC 2014,0.12,21.0,1.0,EventProcessingServiceUnit_scaleOut,
