Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:44:41 UTC 2014,27.9,0.12,0.3339,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:46 UTC 2014,27.9,0.12,0.3339,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:51 UTC 2014,27.9,0.12,0.3339,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:56 UTC 2014,32.4,0.12,0.3335,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:01 UTC 2014,32.4,0.12,0.3335,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:06 UTC 2014,32.4,0.12,0.3335,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:11 UTC 2014,42.8,0.12,0.3331,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:16 UTC 2014,42.8,0.12,0.3331,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:21 UTC 2014,42.8,0.12,0.3331,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:26 UTC 2014,42.8,0.12,0.3331,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:32 UTC 2014,35.8,0.12,0.3325,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:37 UTC 2014,35.8,0.12,0.3325,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:42 UTC 2014,35.8,0.12,0.3325,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:47 UTC 2014,35.8,0.12,0.3325,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:52 UTC 2014,35.8,0.12,0.3325,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:57 UTC 2014,35.8,0.12,0.3325,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:02 UTC 2014,27.8,0.12,0.3321,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:07 UTC 2014,29.2,0.12,0.3318,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:12 UTC 2014,29.2,0.12,0.3318,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:17 UTC 2014,29.2,0.12,0.3318,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:23 UTC 2014,29.2,0.12,0.3318,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:28 UTC 2014,31.7,0.12,0.3313,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:33 UTC 2014,24.6,0.12,0.3309,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:38 UTC 2014,24.6,0.12,0.3309,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:43 UTC 2014,24.6,0.12,0.3309,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:48 UTC 2014,24.6,0.12,0.3309,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:53 UTC 2014,24.6,0.12,0.3309,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:58 UTC 2014,24.6,0.12,0.3309,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:03 UTC 2014,27.8,0.12,0.3303,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:08 UTC 2014,25.1,0.12,0.3298,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:13 UTC 2014,25.1,0.12,0.3298,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:18 UTC 2014,29.7,0.12,0.3297,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:23 UTC 2014,29.7,0.12,0.3297,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:29 UTC 2014,35.5,0.12,0.3294,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:34 UTC 2014,35.5,0.12,0.3294,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:39 UTC 2014,25.4,0.12,0.3285,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:44 UTC 2014,25.4,0.12,0.3285,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:49 UTC 2014,25.4,0.12,0.3285,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:54 UTC 2014,25.4,0.12,0.3285,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:59 UTC 2014,25.4,0.12,0.3285,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:04 UTC 2014,25.4,0.12,0.328,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:09 UTC 2014,25.4,0.12,0.328,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:14 UTC 2014,25.4,0.12,0.328,1.0,EventProcessingServiceUnit_scaleIn,
