Time ,cost ,responseTime ,throughput ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:44:28 UTC 2014,0.24,9.0,95.0,78.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:33 UTC 2014,0.24,9.0,95.0,78.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:38 UTC 2014,0.24,9.0,95.0,78.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:43 UTC 2014,0.24,5.0,181.0,256.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:48 UTC 2014,0.24,5.0,181.0,256.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:54 UTC 2014,0.24,5.0,181.0,256.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:00 UTC 2014,0.24,8.0,118.0,144.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:05 UTC 2014,0.24,8.0,118.0,144.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:10 UTC 2014,0.24,8.0,118.0,144.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:15 UTC 2014,0.24,7.0,137.0,70.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:20 UTC 2014,0.24,7.0,137.0,70.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:25 UTC 2014,0.24,8.0,104.0,121.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:30 UTC 2014,0.24,8.0,104.0,121.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:35 UTC 2014,0.24,9.0,72.0,95.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:40 UTC 2014,0.24,9.0,72.0,95.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:46 UTC 2014,0.24,9.0,72.0,95.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:51 UTC 2014,0.24,9.0,72.0,95.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:56 UTC 2014,0.24,7.0,121.0,219.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:01 UTC 2014,0.24,10.0,94.0,99.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:06 UTC 2014,0.24,10.0,120.0,270.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:11 UTC 2014,0.24,10.0,120.0,270.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:16 UTC 2014,0.24,10.0,120.0,270.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:21 UTC 2014,0.24,7.0,59.0,2.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:26 UTC 2014,0.24,10.0,87.0,44.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:31 UTC 2014,0.24,4.0,209.0,44.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:36 UTC 2014,0.24,4.0,209.0,44.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:42 UTC 2014,0.24,4.0,209.0,44.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:47 UTC 2014,0.24,4.0,209.0,44.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:52 UTC 2014,0.24,9.0,102.0,21.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:57 UTC 2014,0.24,9.0,102.0,21.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:02 UTC 2014,0.24,9.0,89.0,41.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:07 UTC 2014,0.24,3.0,290.0,55.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:12 UTC 2014,0.24,3.0,290.0,55.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:17 UTC 2014,0.24,9.0,102.0,47.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:22 UTC 2014,0.24,9.0,102.0,47.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:27 UTC 2014,0.24,9.0,102.0,47.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:32 UTC 2014,0.24,9.0,102.0,8.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:37 UTC 2014,0.24,7.0,124.0,13.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:42 UTC 2014,0.24,7.0,124.0,13.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:47 UTC 2014,0.24,8.0,117.0,10.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:52 UTC 2014,0.24,8.0,117.0,10.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:57 UTC 2014,0.24,8.0,117.0,10.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:03 UTC 2014,0.24,8.0,120.0,60.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:08 UTC 2014,0.24,8.0,120.0,60.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:13 UTC 2014,0.24,8.0,120.0,60.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:18 UTC 2014,0.24,8.0,120.0,60.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:23 UTC 2014,0.24,12.0,100.0,19.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:28 UTC 2014,0.24,11.0,81.0,91.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:33 UTC 2014,0.24,11.0,81.0,91.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:38 UTC 2014,0.24,9.0,100.0,75.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:43 UTC 2014,0.24,9.0,100.0,75.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:49 UTC 2014,0.24,7.0,9.0,75.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:54 UTC 2014,0.24,7.0,9.0,75.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:59 UTC 2014,0.24,9.0,103.0,7.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:04 UTC 2014,0.24,9.0,103.0,7.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:09 UTC 2014,0.24,0.0,0.0,0.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:14 UTC 2014,0.24,0.0,0.0,0.0,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:49:19 UTC 2014,0.24,0.0,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:29 UTC 2014,0.24,7.0,123.0,153.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:39 UTC 2014,0.24,10.0,91.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:49 UTC 2014,0.24,0.0,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:49:59 UTC 2014,0.24,11.0,82.0,88.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Tue Feb 18 09:50:09 UTC 2014,0.24,8.0,105.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:19 UTC 2014,0.36,5.0,30.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:25 UTC 2014,0.36,4.0,34.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:30 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:35 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:40 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:45 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:50 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:55 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:00 UTC 2014,0.36,3.0,17.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:05 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:10 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:15 UTC 2014,0.36,2.5,38.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:20 UTC 2014,0.36,2.5,38.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:25 UTC 2014,0.36,2.5,38.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:30 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:35 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:40 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:46 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:51 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:56 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:01 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:06 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:11 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:16 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:21 UTC 2014,0.36,4.0,3.0,83.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:26 UTC 2014,0.36,3.5,117.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:31 UTC 2014,0.36,3.5,117.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:36 UTC 2014,0.36,3.5,117.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:41 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:46 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:51 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:56 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:02 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:07 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:12 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:17 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:22 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:27 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:32 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:37 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:42 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:47 UTC 2014,0.36,5.0,60.0,22.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:52 UTC 2014,0.36,8.5,174.0,108.0,3.0,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:57 UTC 2014,0.36,8.5,174.0,108.0,3.0,EventProcessingServiceUnit_scaleOut,
