Time ,cost/client/h , ongoingAction, targetedNodeID
Tue Feb 18 09:45:31 UTC 2014,0.0063,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:37 UTC 2014,0.0063,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:42 UTC 2014,0.0063,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:47 UTC 2014,0.0063,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:52 UTC 2014,0.0027,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:57 UTC 2014,0.0027,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:02 UTC 2014,0.0061,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:07 UTC 2014,0.0022,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:12 UTC 2014,0.0022,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:17 UTC 2014,0.3,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:22 UTC 2014,0.3,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:28 UTC 2014,0.0136,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:33 UTC 2014,0.0136,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:38 UTC 2014,0.0136,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:43 UTC 2014,0.0136,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:48 UTC 2014,0.0286,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:53 UTC 2014,0.0286,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:58 UTC 2014,0.0286,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:03 UTC 2014,0.0146,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:08 UTC 2014,0.0109,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:13 UTC 2014,0.0109,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:18 UTC 2014,0.0128,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:23 UTC 2014,0.0128,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:28 UTC 2014,0.075,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:34 UTC 2014,0.075,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:39 UTC 2014,0.0462,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:44 UTC 2014,0.0462,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:49 UTC 2014,0.06,EventProcessingServiceUnit_scaleIn,
