Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 12:11:58 UTC 2014,0.84,7.4286,175.0,7.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:12:13 UTC 2014,0.84,7.4286,175.0,7.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:12:23 UTC 2014,0.84,7.4286,175.0,7.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:12:36 UTC 2014,0.84,11.5714,115.0,7.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:12:48 UTC 2014,0.84,9.0,181.0,7.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:12:59 UTC 2014,0.84,9.0,181.0,7.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:13:08 UTC 2014,0.84,9.0,181.0,7.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:13:23 UTC 2014,0.84,9.0,181.0,7.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:13:41 UTC 2014,0.72,8.6667,98.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:13:49 UTC 2014,0.72,8.6667,98.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:13:55 UTC 2014,0.72,10.5,83.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:02 UTC 2014,0.72,10.5,83.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:07 UTC 2014,0.72,10.5,83.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:17 UTC 2014,0.72,10.5,83.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:23 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:30 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:35 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:41 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:48 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:14:54 UTC 2014,0.72,7.3333,61.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:01 UTC 2014,0.72,7.3333,61.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:06 UTC 2014,0.72,7.3333,61.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:13 UTC 2014,0.72,7.3333,61.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:23 UTC 2014,0.72,2.3333,19.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:28 UTC 2014,0.72,2.3333,19.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:35 UTC 2014,0.72,2.3333,19.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:44 UTC 2014,0.72,2.3333,19.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:15:54 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:16:02 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:16:12 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:16:24 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:16:34 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:16:44 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:17:00 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:17:09 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:17:20 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:17:32 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:17:43 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:17:55 UTC 2014,0.72,0.0,0.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:18:12 UTC 2014,0.72,5.5,112.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:18:27 UTC 2014,0.72,6.6,191.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:18:41 UTC 2014,0.72,6.6,191.0,6.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:18:56 UTC 2014,0.72,6.6,191.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:19:10 UTC 2014,0.72,6.6,191.0,6.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:19:35 UTC 2014,0.6,10.2,124.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:19:46 UTC 2014,0.6,10.2,124.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:20:00 UTC 2014,0.6,11.8,73.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:20:09 UTC 2014,0.6,11.8,73.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:20:17 UTC 2014,0.6,8.8,167.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:20:30 UTC 2014,0.6,8.8,167.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:20:35 UTC 2014,0.6,8.8,167.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:20:54 UTC 2014,0.6,7.2,163.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:21:02 UTC 2014,0.6,7.2,163.0,5.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 12:21:10 UTC 2014,0.6,7.2,163.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:21:22 UTC 2014,0.6,7.2,163.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:21:33 UTC 2014,0.6,10.8,118.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Tue Feb 18 12:21:47 UTC 2014,0.6,7.6,185.0,5.0,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
