Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:45:01 UTC 2014,0.12,144.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:06 UTC 2014,0.12,144.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:11 UTC 2014,0.12,70.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:16 UTC 2014,0.12,70.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:21 UTC 2014,0.12,70.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:26 UTC 2014,0.12,121.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:31 UTC 2014,0.12,121.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:36 UTC 2014,0.12,95.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:41 UTC 2014,0.12,95.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:46 UTC 2014,0.12,95.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:51 UTC 2014,0.12,95.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:56 UTC 2014,0.12,219.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:02 UTC 2014,0.12,99.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:07 UTC 2014,0.12,270.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:12 UTC 2014,0.12,270.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:17 UTC 2014,0.12,270.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:22 UTC 2014,0.12,2.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:27 UTC 2014,0.12,44.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:32 UTC 2014,0.12,44.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:37 UTC 2014,0.12,44.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:42 UTC 2014,0.12,44.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:47 UTC 2014,0.12,44.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:52 UTC 2014,0.12,21.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:57 UTC 2014,0.12,21.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:02 UTC 2014,0.12,41.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:07 UTC 2014,0.12,55.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:12 UTC 2014,0.12,55.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:18 UTC 2014,0.12,47.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:23 UTC 2014,0.12,47.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:28 UTC 2014,0.12,47.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:33 UTC 2014,0.12,8.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:38 UTC 2014,0.12,13.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:43 UTC 2014,0.12,13.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:48 UTC 2014,0.12,10.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:53 UTC 2014,0.12,10.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:58 UTC 2014,0.12,10.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:03 UTC 2014,0.12,60.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:08 UTC 2014,0.12,60.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:13 UTC 2014,0.12,60.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:18 UTC 2014,0.12,60.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:23 UTC 2014,0.12,19.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:28 UTC 2014,0.12,91.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:33 UTC 2014,0.12,91.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:38 UTC 2014,0.12,75.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:44 UTC 2014,0.12,75.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:49 UTC 2014,0.12,75.0,1.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:48:54 UTC 2014,0.12,75.0,1.0,EventProcessingServiceUnit_scaleIn,
