Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:44:41 UTC 2014,66.1,0.24,0.4735,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:46 UTC 2014,66.1,0.24,0.4735,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:51 UTC 2014,66.1,0.24,0.4735,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:56 UTC 2014,69.2,0.24,0.4704,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:01 UTC 2014,69.2,0.24,0.4704,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:06 UTC 2014,69.2,0.24,0.4704,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:11 UTC 2014,72.55,0.24,0.4668,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:16 UTC 2014,72.55,0.24,0.4668,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:21 UTC 2014,72.55,0.24,0.4668,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:26 UTC 2014,77.45,0.24,0.4593,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:32 UTC 2014,63.65,0.24,0.4443,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:37 UTC 2014,63.65,0.24,0.4443,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:42 UTC 2014,63.65,0.24,0.4443,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:47 UTC 2014,63.65,0.24,0.4443,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:52 UTC 2014,64.15,0.24,0.4447,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:57 UTC 2014,64.15,0.24,0.4447,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:02 UTC 2014,64.15,0.24,0.431,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:07 UTC 2014,64.15,0.24,0.431,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:12 UTC 2014,64.15,0.24,0.431,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:17 UTC 2014,77.35,0.24,0.423,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:23 UTC 2014,77.35,0.24,0.423,2.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:28 UTC 2014,77.35,0.24,0.423,2.0,EventProcessingServiceUnit_scaleIn,
