Time ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:33 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:39 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:23:57 UTC 2014,6.3106,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:04 UTC 2014,6.754,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:11 UTC 2014,6.4733,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:18 UTC 2014,5.5253,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:25 UTC 2014,5.3107,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:32 UTC 2014,5.455,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:39 UTC 2014,7.2186,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:46 UTC 2014,8.0146,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:53 UTC 2014,9.5582,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:25:00 UTC 2014,9.8049,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:05 UTC 2014,9.8049,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:11 UTC 2014,10.3271,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:16 UTC 2014,11.1324,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:21 UTC 2014,12.5457,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:26 UTC 2014,13.4781,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:31 UTC 2014,13.4227,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:36 UTC 2014,13.3977,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:41 UTC 2014,12.3502,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:46 UTC 2014,12.3501,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:51 UTC 2014,12.7292,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:56 UTC 2014,12.7292,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:01 UTC 2014,13.3311,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:06 UTC 2014,13.3061,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:11 UTC 2014,13.3809,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:16 UTC 2014,13.3833,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:22 UTC 2014,14.3303,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:27 UTC 2014,14.7348,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:32 UTC 2014,14.9613,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:37 UTC 2014,15.0114,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:42 UTC 2014,14.7342,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:47 UTC 2014,14.7092,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:52 UTC 2014,16.514,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:57 UTC 2014,16.514,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:02 UTC 2014,16.9938,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:07 UTC 2014,18.271,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:12 UTC 2014,21.8205,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:17 UTC 2014,20.6866,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:22 UTC 2014,17.2768,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:27 UTC 2014,17.2768,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:32 UTC 2014,18.2682,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:38 UTC 2014,18.2682,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:43 UTC 2014,20.6884,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:48 UTC 2014,20.6633,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:53 UTC 2014,21.2102,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:27:58 UTC 2014,21.2102,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:03 UTC 2014,21.1852,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:08 UTC 2014,21.0241,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:13 UTC 2014,21.0241,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:18 UTC 2014,21.1787,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:24 UTC 2014,21.1912,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:29 UTC 2014,28.8592,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:34 UTC 2014,28.8842,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:39 UTC 2014,28.8842,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:44 UTC 2014,21.7339,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:50 UTC 2014,21.8215,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:55 UTC 2014,22.7119,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:00 UTC 2014,22.7119,4.0,CassandraNode_scaleIn,
