Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:31 UTC 2014,0.12,1.0,,
Thu Feb 20 12:17:37 UTC 2014,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:44 UTC 2014,5.0968,0.12,48.8538,0.8,0.0,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:55 UTC 2014,8.0727,0.12,48.8407,0.8,0.0,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:06 UTC 2014,10.061,0.12,49.0341,0.8,0.0,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:18 UTC 2014,9.7959,0.12,48.9614,0.7667,0.0,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:29 UTC 2014,5.4711,0.12,48.9614,0.7667,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:40 UTC 2014,9.2574,0.12,49.4512,0.7667,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:45 UTC 2014,9.2574,0.12,49.4512,0.7667,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:50 UTC 2014,6.0852,0.12,48.8799,0.8,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:55 UTC 2014,6.0852,0.12,48.8799,0.8,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:00 UTC 2014,5.0916,0.12,49.0002,0.8,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:05 UTC 2014,5.0916,0.12,49.0002,0.8,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:10 UTC 2014,9.7684,0.12,49.249,0.8,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:16 UTC 2014,9.7684,0.12,49.249,0.8,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:21 UTC 2014,9.7684,0.12,48.954,0.7,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:26 UTC 2014,10.3622,0.12,48.954,0.7,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:31 UTC 2014,10.3622,0.12,48.954,0.7,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:36 UTC 2014,12.766,0.12,49.0174,0.7,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:42 UTC 2014,12.766,0.12,49.0174,0.7,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:47 UTC 2014,12.766,0.12,49.0174,0.8333,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:52 UTC 2014,8.8057,0.12,49.4763,0.8333,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:57 UTC 2014,8.8057,0.12,49.4763,0.8333,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:02 UTC 2014,8.502,0.12,49.721,0.8333,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:07 UTC 2014,8.502,0.12,49.721,0.8333,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:13 UTC 2014,6.599,0.12,49.1386,0.8333,0.0,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:18 UTC 2014,6.599,0.12,49.1386,0.8333,0.0,1.0,CassandraNode_scaleOut,
