Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:23:38 UTC 2014,6.7619,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:46 UTC 2014,6.2827,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:54 UTC 2014,6.6355,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:02 UTC 2014,6.6355,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:10 UTC 2014,6.0741,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:19 UTC 2014,6.2434,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:27 UTC 2014,6.2434,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:35 UTC 2014,6.4822,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:43 UTC 2014,8.1242,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:51 UTC 2014,9.569,0.36,3.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:59 UTC 2014,9.519,0.36,3.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:05 UTC 2014,9.519,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:10 UTC 2014,10.5634,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:15 UTC 2014,10.5634,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:20 UTC 2014,13.34,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:25 UTC 2014,13.34,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:30 UTC 2014,13.2291,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:35 UTC 2014,13.2291,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:40 UTC 2014,13.2291,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:45 UTC 2014,13.805,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:50 UTC 2014,13.805,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:56 UTC 2014,14.5565,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:01 UTC 2014,14.5565,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:06 UTC 2014,14.5065,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:26:11 UTC 2014,14.656,0.24,2.0,CassandraNode_scaleIn,
