Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:00:00 UTC 2014,96.008,0.12,37.0,61.2553,0.6,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:05 UTC 2014,95.7,0.12,37.0,59.4156,0.6,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:11 UTC 2014,95.7,0.12,37.0,59.4156,0.6,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:16 UTC 2014,93.4144,0.12,37.0,56.7517,0.6,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:21 UTC 2014,93.4144,0.12,37.0,56.7517,0.6,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:26 UTC 2014,96.5,0.12,37.0,51.8456,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:31 UTC 2014,96.5,0.12,37.0,51.8456,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:36 UTC 2014,96.5,0.12,37.0,51.8456,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:42 UTC 2014,92.7073,0.12,37.0,52.819,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:47 UTC 2014,92.7073,0.12,37.0,52.819,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:52 UTC 2014,92.3077,0.12,37.0,57.0923,0.6452,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:57 UTC 2014,92.3077,0.12,37.0,57.0923,0.6452,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:02 UTC 2014,94.006,0.12,37.0,55.3117,0.6452,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:07 UTC 2014,94.006,0.12,37.0,55.3117,0.6452,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:12 UTC 2014,94.006,0.12,37.0,55.3117,0.6452,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:17 UTC 2014,96.2963,0.12,37.0,53.4367,0.6452,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:22 UTC 2014,96.2963,0.12,37.0,53.4367,0.6452,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:27 UTC 2014,96.3,0.12,37.0,53.5699,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:32 UTC 2014,96.3,0.12,37.0,53.5699,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:37 UTC 2014,96.3,0.12,37.0,53.5699,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:42 UTC 2014,96.9031,0.12,37.0,52.2704,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:47 UTC 2014,96.9031,0.12,37.0,52.2704,0.8667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:53 UTC 2014,97.1029,0.12,37.0,48.4929,0.9667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:58 UTC 2014,97.1029,0.12,37.0,48.4929,0.9667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:03 UTC 2014,97.006,0.12,37.0,47.194,0.9667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:08 UTC 2014,97.006,0.12,37.0,47.194,0.9667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:13 UTC 2014,97.006,0.12,37.0,47.194,0.9667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:18 UTC 2014,96.3,0.12,37.0,48.8789,0.9667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:23 UTC 2014,96.3,0.12,37.0,48.8789,0.9667,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:28 UTC 2014,95.8,0.12,37.0,48.7312,0.7333,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:33 UTC 2014,95.8,0.12,37.0,48.7312,0.7333,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:38 UTC 2014,95.8,0.12,37.0,48.7312,0.7333,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:43 UTC 2014,96.507,0.12,37.0,47.7922,0.7333,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:48 UTC 2014,96.507,0.12,37.0,47.7922,0.7333,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:53 UTC 2014,96.4,0.12,37.0,46.8213,0.9355,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:59 UTC 2014,96.4,0.12,37.0,46.8213,0.9355,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:04 UTC 2014,97.3027,0.12,37.0,47.147,0.9355,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:09 UTC 2014,97.3027,0.12,37.0,47.147,0.9355,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:14 UTC 2014,97.3027,0.12,37.0,47.147,0.9355,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:19 UTC 2014,96.9093,0.12,37.0,47.4253,0.9355,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:24 UTC 2014,96.8032,0.12,37.0,47.5352,0.8,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:29 UTC 2014,96.8032,0.12,37.0,47.5352,0.8,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:34 UTC 2014,96.8032,0.12,37.0,47.5352,0.8,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:39 UTC 2014,97.1029,0.12,37.0,47.5428,0.8,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:44 UTC 2014,97.1029,0.12,37.0,47.5428,0.8,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:49 UTC 2014,97.5976,0.12,37.0,54.3008,0.7333,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:54 UTC 2014,97.5976,0.12,37.0,54.3008,0.7333,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:04:00 UTC 2014,97.5976,0.12,37.0,54.9276,0.7333,1.0,CassandraNode_scaleOut,CassandraNode
