Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:01:42 UTC 2014,54.4456,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:48 UTC 2014,37.9555,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:53 UTC 2014,37.9555,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:58 UTC 2014,37.9555,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:03 UTC 2014,37.5,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:08 UTC 2014,37.5,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:13 UTC 2014,38.9452,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:18 UTC 2014,38.9452,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:23 UTC 2014,38.9452,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:28 UTC 2014,41.5415,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:33 UTC 2014,41.5415,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:38 UTC 2014,68.3633,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:43 UTC 2014,68.3633,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:48 UTC 2014,33.1319,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:53 UTC 2014,33.1319,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:59 UTC 2014,33.1319,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:04 UTC 2014,30.5444,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:09 UTC 2014,30.5444,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:14 UTC 2014,30.5444,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:19 UTC 2014,43.6364,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:24 UTC 2014,43.6364,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:29 UTC 2014,29.716,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:35 UTC 2014,29.716,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:40 UTC 2014,29.716,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:45 UTC 2014,58.1818,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:50 UTC 2014,58.1818,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:55 UTC 2014,58.1818,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:04:00 UTC 2014,48.8821,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:08 UTC 2014,33.5984,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:16 UTC 2014,33.5984,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:24 UTC 2014,75.076,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:33 UTC 2014,75.076,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:41 UTC 2014,79.7405,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:49 UTC 2014,87.3239,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:57 UTC 2014,87.3239,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:05:05 UTC 2014,77.9011,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:10 UTC 2014,77.9011,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:15 UTC 2014,77.9011,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:20 UTC 2014,70.7071,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:25 UTC 2014,70.7071,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:30 UTC 2014,76.4,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:35 UTC 2014,76.4,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:40 UTC 2014,76.4,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:46 UTC 2014,69.7462,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:51 UTC 2014,69.7462,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:56 UTC 2014,69.7462,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:01 UTC 2014,73.9174,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:06 UTC 2014,73.9174,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:11 UTC 2014,70.3441,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:16 UTC 2014,70.3441,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:21 UTC 2014,70.3441,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:26 UTC 2014,81.3627,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:31 UTC 2014,81.3627,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:36 UTC 2014,81.3627,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:42 UTC 2014,69.9797,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:47 UTC 2014,69.9797,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:52 UTC 2014,70.8963,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:57 UTC 2014,70.8963,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:02 UTC 2014,70.8963,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:07 UTC 2014,89.2108,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:12 UTC 2014,89.2108,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:17 UTC 2014,51.3105,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:22 UTC 2014,51.3105,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:27 UTC 2014,52.1916,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:32 UTC 2014,52.1916,0.12,1.0,CassandraNode_scaleOut,
