Time ,memUsage ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:31:27 UTC 2014,9.9658,0.1001,0.12,1,,
Thu Feb 20 13:31:32 UTC 2014,9.9658,0.1002,0.12,1,,
Thu Feb 20 13:31:37 UTC 2014,9.9658,0,0.12,1,,
Thu Feb 20 13:31:43 UTC 2014,9.9658,0,0.12,1,,
Thu Feb 20 13:31:48 UTC 2014,9.9658,0,0.12,1,,
Thu Feb 20 13:31:54 UTC 2014,9.9658,0,0.12,1,,
Thu Feb 20 13:32:00 UTC 2014,9.9658,0.1998,0.12,1,,
Thu Feb 20 13:32:05 UTC 2014,9.9658,0.1001,0.12,1,,
Thu Feb 20 13:32:11 UTC 2014,9.9658,0.1001,0.12,1,,
Thu Feb 20 13:32:16 UTC 2014,9.9658,0.1001,0.12,1,,
Thu Feb 20 13:32:21 UTC 2014,9.9658,0.1001,0.12,1,,
Thu Feb 20 13:32:27 UTC 2014,9.9658,0.1998,0.12,1,,
Thu Feb 20 13:32:32 UTC 2014,9.9658,0.1998,0.12,1,,
Thu Feb 20 13:32:38 UTC 2014,9.9658,0.1001,0.12,1,,
Thu Feb 20 13:32:43 UTC 2014,9.9658,0.1001,0.12,1,,
Thu Feb 20 13:32:48 UTC 2014,9.9658,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:32:58 UTC 2014,9.9658,0.2,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:08 UTC 2014,9.9658,0.1998,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:17 UTC 2014,9.9658,0.1998,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:27 UTC 2014,9.9658,0.1,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:36 UTC 2014,9.9658,0.1,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:45 UTC 2014,9.9658,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:55 UTC 2014,9.9658,0.3,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:04 UTC 2014,9.9658,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:14 UTC 2014,9.9718,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:24 UTC 2014,9.9658,0,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:33 UTC 2014,9.9658,0,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:43 UTC 2014,9.9658,0.2,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:52 UTC 2014,9.9658,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:01 UTC 2014,9.9658,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:11 UTC 2014,9.9658,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:20 UTC 2014,9.9658,0,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:29 UTC 2014,9.9658,0,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:39 UTC 2014,9.9718,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:48 UTC 2014,9.9718,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:58 UTC 2014,9.9718,0.2,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:07 UTC 2014,9.9718,0.2,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:17 UTC 2014,9.9718,0.1998,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:27 UTC 2014,9.9658,0.1002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:36 UTC 2014,9.9718,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:45 UTC 2014,9.9718,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:55 UTC 2014,9.9714,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:37:04 UTC 2014,9.9714,0.2997,0.12,1,,
Thu Feb 20 13:37:13 UTC 2014,9.9714,0.3,0.12,1,,
Thu Feb 20 13:37:18 UTC 2014,9.9714,0.3,0.12,1,,
Thu Feb 20 13:37:23 UTC 2014,9.9714,0,0.12,1,,
Thu Feb 20 13:37:29 UTC 2014,9.9714,0,0.12,1,,
Thu Feb 20 13:37:34 UTC 2014,9.9714,0,0.12,1,,
Thu Feb 20 13:37:40 UTC 2014,9.971,0.3996,0.12,1,,
Thu Feb 20 13:37:45 UTC 2014,9.971,0.3996,0.12,1,,
Thu Feb 20 13:37:51 UTC 2014,9.971,0.3996,0.12,1,,
Thu Feb 20 13:37:56 UTC 2014,9.971,0.3003,0.12,1,,
Thu Feb 20 13:38:02 UTC 2014,9.971,0.3003,0.12,1,,
Thu Feb 20 13:38:07 UTC 2014,9.971,0.3003,0.12,1,,
Thu Feb 20 13:38:13 UTC 2014,9.971,0,0.12,1,,
Thu Feb 20 13:38:18 UTC 2014,9.971,0,0.12,1,,
Thu Feb 20 13:38:24 UTC 2014,9.971,0.1002,0.12,1,,
Thu Feb 20 13:38:29 UTC 2014,9.971,0.1002,0.12,1,,
Thu Feb 20 13:38:34 UTC 2014,9.971,0.2002,0.12,1,,
Thu Feb 20 13:38:40 UTC 2014,9.971,0.2002,0.12,1,,
